"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\.columbus_java\JUNITMETRICS14.3.1.ljsi","C:\Users\Deyan\Downloads\junit4-r4.13.1\.columbus_java\JUNITMETRICS14.3.1.ljsi","0.0347332","33","128","1303.76","0.170358","82","0.0213852","0.0288131","0.0122198","972","896","0.108734","0.190979","0.193375","7455","796","3372","31097","45452","965","1418","91","8","447","330","42","4308","9363","321","1059","1","41","64","3442","33","0","167","14185","812","3233","101","0","2163","822","0","460","0","411","0","259","0","0","0","26","0","71","0","0","0","0"
"L102","<System>","<System>","0.0347332","33","128","1303.76","0.170358","82","0.0213852","0.0288131","0.0122198","972","896","0.108734","0.190979","0.193375","7455","796","3372","31097","45452","965","1418","91","8","447","330","42","4308","9363","321","1059","1","41","64","3442","33","0","167","14185","812","3233","101","0","2163","822","0","460","0","411","0","259","0","0","0","26","0","71","0","0","0","0"
