"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1896","95~CloneInstance","C530","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\junit\tests\framework\TestCaseTest.java","63","5","75","6","1","1","12","13","1","0"
"C1897","96~CloneInstance","C530","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\junit\tests\framework\TestCaseTest.java","102","5","114","6","1","1","12","13","1","0"
"C2026","114~CloneInstance","C583","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\junit\tests\runner\TextFeedbackTest.java","98","9","114","51","1","1","83","17","1","0"
"C1745","61~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","52","5","65","6","1","1","77","14","1","0"
"C1746","62~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","88","5","101","6","1","1","77","14","1","0"
"C1747","63~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","103","5","116","6","1","1","77","14","1","0"
"C1748","64~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","118","5","131","6","1","1","77","14","1","0"
"C1749","65~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","133","5","146","6","1","1","77","14","1","0"
"C1750","66~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","148","5","161","6","1","1","77","14","1","0"
"C1751","67~CloneInstance","C478","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\internal\StackTracesTest.java","163","5","176","6","1","1","77","14","1","0"
"C1740","57~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\rules\StopwatchTest.java","168","5","177","6","1","1","57","10","1","0"
"C1741","58~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\rules\StopwatchTest.java","179","5","188","6","1","1","57","10","1","0"
"C1742","59~CloneInstance","C476","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\rules\StopwatchTest.java","190","5","199","6","1","1","57","10","1","0"
"C1695","45~CloneInstance","C463","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\rules\TimeoutRuleTest.java","126","5","137","6","1","1","66","12","1","0"
