"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L13647","parameterized","org.junit.runners.parameterized","L12562","L103","0.0155294","1","4","1","0","0","0","0","0.142857","0.0620301","33","6","36","0.142857","0.0620301","33","6","36","499","624","14","14","1","7","1","48","4","0","31","0","499","624","14","14","18","1","8","7","1","48","147","4","10","0","1","0","31","0","0","1","171","9","13","1","0","10","2","0","6","0","4","0","1","0","0","0","0","0","0","0","0","0","0"
"L14571","money","org.junit.samples.money","L14536","L103","0.136792","2","2","2","0.097561","0.1125","20","18","0","0.110497","20","0","26","0","0.110497","20","0","26","161","212","6","1","0","0","0","25","0","0","25","1","161","212","6","1","12","0","2","0","0","25","68","0","1","0","0","0","25","1","0","3","71","4","50","0","0","44","0","0","8","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"L14684","assertion","org.junit.tests.assertion","L14628","L103","0.0727567","4","16","8","0","0","0","0","0.018018","0.0258126","27","2","109","0.018018","0.0258126","27","2","109","1019","1219","7","10","0","0","0","115","0","0","111","0","1019","1219","7","10","12","0","4","0","0","115","391","0","4","0","0","0","111","0","0","1","325","13","188","2","0","171","16","0","8","0","1","0","6","0","0","0","0","0","0","0","0","0","0"
"L14901","deprecated","org.junit.tests.deprecated","L14628","L103","0","0","0","0","0","0","0","0","0.0909091","0.0625","4","1","10","0.0909091","0.0625","4","1","10","60","79","0","4","0","0","0","7","0","0","7","0","60","79","0","4","12","0","2","0","0","7","9","0","4","0","0","0","7","0","0","0","29","2","10","0","0","10","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L14927","description","org.junit.tests.description","L14628","L103","0","0","0","0","0","0","0","0","0.037037","0.0218579","4","1","26","0.037037","0.0218579","4","1","26","179","227","6","9","0","2","0","22","0","0","19","0","179","227","6","9","12","0","5","2","0","22","31","0","8","0","0","0","19","0","0","0","82","5","33","0","0","24","8","0","2","0","3","0","1","0","0","0","0","0","0","0","0","0","0"
"L15016","experimental","org.junit.tests.experimental","L14628","L103","0.0407267","4","10","10","0","0","0","0","0.0444444","0.0396341","13","2","43","0.0103306","0.00949968","30","5","479","315","384","6","14","0","0","0","38","3","4","35","0","3128","3925","135","155","19","1","46","29","1","399","677","91","140","0","1","7","365","0","0","5","1694","74","418","2","0","262","70","0","46","0","80","0","16","0","0","0","0","0","23","0","0","0","0"
"L16647","junit3compatibility","org.junit.tests.junit3compatibility","L14628","L103","0.044223","2","3","3","0","0","0","0","0.0138889","0.0144928","12","2","142","0.0138889","0.0144928","12","2","142","816","997","11","57","0","5","0","114","1","0","107","0","816","997","11","57","12","0","11","5","0","114","234","1","49","0","0","0","107","0","0","2","521","26","93","0","0","76","12","0","14","0","15","0","2","0","0","0","0","0","2","0","0","0","0"
"L17061","listening","org.junit.tests.listening","L14628","L103","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","40","250","306","7","21","0","0","0","30","0","0","29","1","250","306","7","21","12","0","6","0","0","30","66","0","16","0","0","0","29","1","0","1","134","10","30","0","0","24","3","0","5","0","8","0","1","0","0","0","0","0","0","0","0","0","0"
"L17207","manipulation","org.junit.tests.manipulation","L14628","L103","0","0","0","0","0","0","0","0","0.0223214","0.0201729","21","5","219","0.0223214","0.0201729","21","5","219","1020","1299","16","72","0","5","0","166","2","0","161","0","1020","1299","16","72","12","0","12","5","0","166","222","2","68","0","0","0","161","0","0","0","598","19","110","0","0","29","67","0","7","0","23","0","3","0","0","0","0","0","0","0","0","0","0"
"L17715","running","org.junit.tests.running","L14628","L103","0.0377389","4","14","12","0","0","0","0","0","0","0","0","1","0.00970874","0.0108386","38","6","612","15","18","0","1","0","0","0","0","0","3","0","0","3468","4243","67","204","16","0","27","7","1","540","896","23","174","0","1","4","485","2","0","5","2049","162","488","3","0","371","109","0","65","0","82","0","18","0","0","0","0","0","10","0","0","0","0"
