"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L3176","void assertArrayEquals(String message, double[] expecteds, double[] actuals, double delta)","org.junit.Assert.assertArrayEquals(Ljava/lang/String;[D[DD)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","469","5","472","6","0","0","0","0","0","0","0","0","70.213","13.5","1633.69","138.712","28","20","90.7605","121.014","123.373","72.1481","151.084","88.3532","1","0","0","1","2","0.75","12","12","0.75","12","4","4","1","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3190","void assertArrayEquals(double[] expecteds, double[] actuals, double delta)","org.junit.Assert.assertArrayEquals([D[DD)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","484","5","486","6","0","0","0","0","0","0","0","0","35.6096","6.4","449.973","58.7207","19","13","24.9985","70.3084","130.857","76.5248","162.068","94.7768","1","0","0","2","1","0.769231","10","10","0.769231","10","3","3","1","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3196","void assertArrayEquals(String message, float[] expecteds, float[] actuals, float delta)","org.junit.Assert.assertArrayEquals(Ljava/lang/String;[F[FF)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","500","5","503","6","0","0","0","0","0","0","0","0","70.213","13.5","1633.69","138.712","28","20","90.7605","121.014","123.373","72.1481","151.084","88.3532","1","0","0","1","2","0.75","12","12","0.75","12","4","4","1","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3205","void assertArrayEquals(float[] expecteds, float[] actuals, float delta)","org.junit.Assert.assertArrayEquals([F[FF)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","515","5","517","6","0","0","0","0","0","0","0","0","35.6096","6.4","449.973","58.7207","19","13","24.9985","70.3084","130.857","76.5248","162.068","94.7768","1","0","0","3","1","0.769231","10","10","0.769231","10","3","3","1","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3104","void internalArrayEquals(String message, Object expecteds, Object actuals)","org.junit.Assert.internalArrayEquals(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","532","5","535","6","0","0","0","0","0","0","0","0","61.303","12.25","1174.88","111.343","23","18","65.2709","95.9083","124.582","72.8552","152.973","89.4578","1","0","0","7","1","0.764706","13","13","0.764706","13","4","4","1","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3220","void assertEquals(String message, double expected, double actual, double delta)","org.junit.Assert.assertEquals(Ljava/lang/String;DDD)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","552","5","557","6","0","0","0","0","0","0","0","0","64.9126","15.4","2158.8","167.035","33","19","119.933","140.182","115.81","67.7253","139.882","81.8023","2","1","1","2","2","0.714286","15","15","0.714286","15","6","6","2","4","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3226","void assertEquals(String message, float expected, float actual, float delta)","org.junit.Assert.assertEquals(Ljava/lang/String;FFF)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","574","5","579","6","0","0","0","0","0","0","0","0","64.9126","15.4","2158.8","167.035","33","19","119.933","140.182","115.81","67.7253","139.882","81.8023","2","1","1","1","2","0.714286","15","15","0.714286","15","6","6","2","4","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3093","void assertNotEquals(String message, float unexpected, float actual, float delta)","org.junit.Assert.assertNotEquals(Ljava/lang/String;FFF)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","596","5","601","6","0","0","0","0","0","0","0","0","54.6292","12","1226.24","114.565","25","17","68.1244","102.187","117.454","68.6866","142.254","83.1892","2","1","1","2","2","0.714286","15","15","0.714286","15","6","6","2","4","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3078","boolean doubleIsDifferent(double d1, double d2, double delta)","org.junit.Assert.doubleIsDifferent(DDD)Z","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","603","5","612","6","1","1","3","1","1","1","10","9","99.0586","14.625","2818.5","199.532","41","26","156.583","192.718","107.357","62.7816","79.4874","46.4839","3","1","1","2","0","0","0","0","0","0","9","10","5","3","9","10","5","0","0","7","0","1","0","0","0","5","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3232","boolean floatIsDifferent(float f1, float f2, float delta)","org.junit.Assert.floatIsDifferent(FFF)Z","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","614","5","623","6","1","1","3","1","1","1","10","9","99.0586","14.625","2818.5","199.532","41","26","156.583","192.718","107.357","62.7816","79.4874","46.4839","3","1","1","2","0","0","0","0","0","0","9","10","5","3","9","10","5","0","0","7","0","1","0","0","0","5","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
