"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1667","33~CloneInstance","C453","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\experimental\theories\internal\SpecificDataPointsSupplierTest.java","91","5","100","6","1","1","96","10","1","0"
"C1668","34~CloneInstance","C453","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\experimental\theories\internal\SpecificDataPointsSupplierTest.java","102","5","111","6","1","1","96","10","1","0"
"C1399","14~CloneInstance","C354","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\experimental\theories\runner\UnsuccessfulWithDataPointFields.java","180","5","191","6","1","1","143","12","1","1"
"C1400","15~CloneInstance","C354","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\experimental\theories\runner\UnsuccessfulWithDataPointFields.java","231","5","242","6","1","1","143","12","1","1"
"C1526","23~CloneInstance","C398","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","464","9","477","10","1","1","43","14","1","0"
"C1816","83~CloneInstance","C504","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","464","9","477","10","1","1","43","14","1","0"
"C1527","24~CloneInstance","C398","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","493","9","506","10","1","1","43","14","1","0"
"C1528","25~CloneInstance","C398","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","550","9","563","10","1","1","43","14","1","0"
"C1817","84~CloneInstance","C504","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","550","9","563","10","1","1","43","14","1","0"
"C1529","26~CloneInstance","C398","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","568","9","581","10","1","1","43","14","1","0"
"C1818","85~CloneInstance","C504","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\test\java\org\junit\tests\running\methods\AnnotationTest.java","568","9","581","10","1","1","43","14","1","0"
