"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L103","C:\Users\Deyan\Downloads\junit4-r4.13\.columbus_java\JUNITMETRICS14.3.ljsi","C:\Users\Deyan\Downloads\junit4-r4.13\.columbus_java\JUNITMETRICS14.3.ljsi","0.0348579","33","128","1303.76","0.170748","82","0.0214324","0.028879","0.0122478","972","896","0.108734","0.190831","0.19325","7432","795","3371","31026","45352","965","1418","91","8","447","329","42","4304","9323","321","1059","1","41","64","3440","33","0","167","14181","808","3229","101","0","2159","820","0","457","0","411","0","260","0","0","0","26","0","71","0","0","0","0"
"L102","<System>","<System>","0.0348579","33","128","1303.76","0.170748","82","0.0214324","0.028879","0.0122478","972","896","0.108734","0.190831","0.19325","7432","795","3371","31026","45352","965","1418","91","8","447","329","42","4304","9323","321","1059","1","41","64","3440","33","0","167","14181","808","3229","101","0","2159","820","0","457","0","411","0","260","0","0","0","26","0","71","0","0","0","0"
