"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L17789","running","org.junit.tests.running","L14704","L103","0.037757","4","14","12","0","0","0","0","0","0","0","0","1","0.00970874","0.0108417","38","6","612","15","18","0","1","0","0","0","0","0","3","0","0","3467","4241","67","204","16","0","27","7","1","540","896","23","174","0","1","4","485","2","0","5","2049","162","487","3","0","370","109","0","65","0","82","0","18","0","0","0","0","0","10","0","0","0","0"
"L19557","validation","org.junit.tests.validation","L14704","L103","0","0","0","0","0","0","0","0","0","0.0384615","5","0","23","0","0.0357143","5","0","24","125","159","0","10","0","0","0","16","0","1","13","0","135","175","0","12","13","0","6","0","0","17","19","0","11","0","0","1","14","0","0","0","67","8","16","0","0","10","5","0","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L4993","internal","org.junit.experimental.theories.internal","L4962","L103","0.178189","2","16","6","0.0980392","0.0963855","20","16","0.148148","0.0316742","14","4","23","0.148148","0.0316742","14","4","23","428","548","7","7","0","21","0","47","0","0","23","0","428","548","7","7","13","0","6","21","0","47","179","0","6","0","0","0","23","0","0","1","161","13","13","0","0","4","11","0","9","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"L5460","suppliers","org.junit.experimental.theories.suppliers","L4962","L103","0","0","0","0","0","0","0","0","0.666667","0.387755","19","2","1","0.666667","0.387755","19","2","1","30","58","0","1","0","1","0","2","0","0","1","0","30","58","0","1","13","0","2","1","0","2","6","0","1","0","0","0","1","0","0","0","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6895","model","org.junit.internal.runners.model","L6465","L103","0","0","0","0","0","0","0","0","0.230769","0.22619","19","3","10","0.230769","0.22619","19","3","10","65","103","3","3","0","0","0","12","0","0","10","0","65","103","3","3","13","0","3","0","0","12","17","0","3","0","0","0","10","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6946","rules","org.junit.internal.runners.rules","L6465","L103","0","0","0","0","0","0","0","0","1","0.280156","72","2","0","1","0.280156","72","2","0","185","295","11","11","0","0","1","23","4","0","11","0","185","295","11","11","13","0","2","0","1","23","45","4","1","0","0","0","11","0","0","0","64","0","4","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7140","statements","org.junit.internal.runners.statements","L6465","L103","0.0302521","1","4","2","0","0","0","0","0.2","0.175414","127","8","32","0.2","0.175414","127","8","32","597","830","22","20","0","5","0","58","1","0","43","0","597","830","22","20","20","0","8","5","0","58","231","1","9","0","0","0","43","0","0","13","165","12","29","1","0","15","11","0","8","0","1","0","12","0","0","0","5","0","2","0","0","0","0"
"L15226","max","org.junit.tests.experimental.max","L15092","L103","0.13986","2","4","4","0","0","0","0","0.0192308","0.0144928","6","1","51","0.0192308","0.0144928","6","1","51","408","495","4","16","0","0","0","52","0","0","47","0","408","495","4","16","13","0","4","0","0","52","148","0","11","0","0","0","47","0","0","0","211","18","82","0","0","72","4","0","9","0","11","0","4","0","0","0","0","0","0","0","0","0","0"
"L15385","parallel","org.junit.tests.experimental.parallel","L15092","L103","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","17","131","156","10","6","0","0","0","11","0","0","11","0","131","156","10","6","13","0","3","0","0","11","40","0","6","0","0","0","11","0","0","0","43","2","26","0","0","20","2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"L15444","results","org.junit.tests.experimental.results","L15092","L103","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","9","89","112","2","4","0","1","0","7","1","0","7","0","89","112","2","4","13","0","3","1","0","7","12","1","3","0","0","0","7","0","0","0","32","0","9","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L15477","theories","org.junit.tests.experimental.theories","L15092","L103","0.0293482","2","6","6","0","0","0","0","0.0357143","0.0136986","3","1","27","0.00554017","0.00500911","11","2","359","216","281","3","9","0","3","0","25","3","3","23","0","2185","2778","113","115","16","1","33","28","1","291","390","87","108","0","1","3","265","0","0","2","1282","48","262","2","0","132","53","0","36","0","68","0","8","0","0","0","0","0","15","0","0","0","0"
"L17802","classes","org.junit.tests.running.classes","L17789","L103","0.0513226","2","7","5","0","0","0","0","0.00677966","0.00815376","14","2","293","0.00990099","0.00985222","18","3","300","1703","2078","42","98","0","4","1","251","13","1","236","1","1809","2216","44","104","14","0","14","5","1","262","445","15","88","0","1","1","244","1","0","0","984","71","271","3","0","179","78","0","19","0","48","0","9","0","0","0","0","0","9","0","0","0","0"
"L18705","core","org.junit.tests.running.core","L17789","L103","0","0","0","0","0","0","0","0","0.103448","0.0612245","12","3","26","0.103448","0.0612245","12","3","26","184","242","7","14","0","1","0","23","0","0","22","0","184","242","7","14","13","0","5","1","0","23","53","0","11","0","0","0","22","0","0","3","85","13","12","0","0","15","4","0","5","0","1","0","3","0","0","0","0","0","0","0","0","0","0"
"L18833","methods","org.junit.tests.running.methods","L17789","L103","0.0242821","2","7","7","0","0","0","0","0","0.00545331","8","0","285","0","0.00545331","8","0","285","1459","1765","16","85","0","1","0","255","8","0","219","1","1459","1765","16","85","13","0","7","1","0","255","398","8","74","0","0","0","219","1","0","2","977","78","204","0","0","176","27","0","41","0","33","0","6","0","0","0","0","0","1","0","0","0","0"
"L19573","anotherpackage","org.junit.tests.validation.anotherpackage","L19557","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","10","16","0","2","0","0","0","1","0","0","1","0","10","16","0","2","13","0","2","0","0","1","0","0","1","0","0","0","1","0","0","0","8","1","3","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L15517","extendingwithstubs","org.junit.tests.experimental.theories.extendingwithstubs","L15477","L103","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","35","304","386","12","11","0","9","1","45","1","0","33","0","304","386","12","11","14","0","9","9","1","45","86","1","8","0","1","0","33","0","0","0","139","1","21","0","0","2","15","0","1","0","2","0","0","0","0","0","0","0","2","0","0","0","0"
"L15744","internal","org.junit.tests.experimental.theories.internal","L15477","L103","0.11728","1","4","4","0","0","0","0","0","0","0","0","63","0","0","0","0","63","373","477","17","16","0","7","0","52","17","0","49","0","373","477","17","16","14","0","4","7","0","52","79","17","15","0","0","0","49","0","0","1","221","6","59","0","0","35","8","0","2","0","17","0","3","0","0","0","0","0","1","0","0","0","0"
"L15959","runner","org.junit.tests.experimental.theories.runner","L15477","L103","0.0144748","1","2","2","0","0","0","0","0.00425532","0.00615385","8","1","234","0.00425532","0.00615385","8","1","234","1292","1634","81","79","1","9","0","169","66","0","160","0","1292","1634","81","79","14","1","14","9","0","169","180","66","78","0","0","0","160","0","0","1","832","34","161","1","0","83","27","0","26","0","44","0","5","0","0","0","0","0","11","0","0","0","0"
"L18290","parent","org.junit.tests.running.classes.parent","L17802","L103","0","0","0","0","0","0","0","0","0.125","0.0363636","4","1","7","0.125","0.0363636","4","1","7","106","138","2","6","0","1","0","11","2","0","8","0","106","138","2","6","14","0","2","1","0","11","32","2","3","0","0","0","8","0","0","0","46","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
