"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\.columbus_java\JUNIT.ljsi","C:\Users\Deyan\Downloads\junit4-r4.13.2\.columbus_java\JUNIT.ljsi","0.0346151","35","135","1414.18","0.173118","89","0.021264","0.0286793","0.0125585","972","896","0.105882","0.191035","0.193796","7510","797","3375","31242","45711","968","1423","91","8","450","331","42","4329","9420","324","1058","1","41","64","3455","33","0","163","14237","802","3215","102","0","2143","826","0","460","0","412","0","241","0","0","0","28","0","70","0","0","0","0"
"L102","<System>","<System>","0.0346151","35","135","1414.18","0.173118","89","0.021264","0.0286793","0.0125585","972","896","0.105882","0.191035","0.193796","7510","797","3375","31242","45711","968","1423","91","8","450","331","42","4329","9420","324","1058","1","41","64","3455","33","0","163","14237","802","3215","102","0","2143","826","0","460","0","412","0","241","0","0","0","28","0","70","0","0","0","0"
