"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L12560","void createsADescriptionWithANameForClasses()","org.junit.runner.RequestTest.createsADescriptionWithANameForClasses()V","L12355","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RequestTest.java","18","5","24","6","0","0","0","0","0","0","0","0","64.9126","8.4","999.113","99.9408","28","19","55.5063","118.942","114.397","66.899","129.648","75.8173","1","0","0","0","4","0.363636","4","4","0.363636","4","7","7","2","0","7","7","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12563","void reportsInitializationErrorThrownWhileCreatingSuite()","org.junit.runner.RequestTest.reportsInitializationErrorThrownWhileCreatingSuite()V","L12355","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RequestTest.java","26","5","35","6","0","0","0","0","0","0","0","0","96.2204","15.8333","3235.22","218.744","44","25","179.734","204.33","109.42","63.9886","82.2613","48.106","1","0","0","0","3","0","0","0","0","0","8","10","5","0","8","10","5","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5942","RunnerSpy(Class<?> testClass)","org.junit.runner.RunnerSpy.<init>(Ljava/lang/Class;)V","L5907","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RunnerSpy.java","12","5","14","6","0","0","0","0","0","0","0","0","24.4064","4.66667","186.028","32.5876","12","10","10.3349","39.8631","133.808","78.2504","117.445","68.6815","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5947","RunnerSpy(Class<?> testClass, RunnerBuilder runnerBuilder)","org.junit.runner.RunnerSpy.<init>(Ljava/lang/Class;Lorg/junit/runners/model/RunnerBuilder;)V","L5907","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RunnerSpy.java","16","5","19","6","0","0","0","0","0","0","0","0","35.6096","5.6","373.004","51.8174","18","13","20.7225","66.6079","126.478","73.9638","106.87","62.4973","1","0","0","2","0","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12588","Description getDescription()","org.junit.runner.RunnerSpy.getDescription()Lorg/junit/runner/Description;","L5907","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RunnerSpy.java","21","5","24","6","0","0","0","0","0","0","0","0","13.6096","2.5","49.1287","13.414","7","7","2.72937","19.6515","132.826","77.6758","116.028","67.8525","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12590","void run(RunNotifier runNotifier)","org.junit.runner.RunnerSpy.run(Lorg/junit/runner/notification/RunNotifier;)V","L5907","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RunnerSpy.java","26","5","28","6","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","0","0","0","0","0","0","0","3","3","0","1","3","3","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12592","RunnerBuilder getInvokedRunnerBuilder()","org.junit.runner.RunnerSpy.getInvokedRunnerBuilder()Lorg/junit/runners/model/RunnerBuilder;","L5907","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RunnerSpy.java","30","5","32","6","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5910","Class<?> getInvokedTestClass()","org.junit.runner.RunnerSpy.getInvokedTestClass()Ljava/lang/Class;","L5907","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\org\junit\runner\RunnerSpy.java","34","5","36","6","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","5","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12610","AllTests(Class<?> klass)","org.junit.runners.AllTests.<init>(Ljava/lang/Class;)V","L12608","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\AllTests.java","24","5","26","6","0","0","0","0","0","0","0","0","26","6","219.247","36.3599","11","10","12.1804","36.5412","134.261","78.515","162.555","95.0612","1","0","0","4","1","0.5","3","3","0.5","3","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4184","BlockJUnit4ClassRunner(Class<?> testClass)","org.junit.runners.BlockJUnit4ClassRunner.<init>(Ljava/lang/Class;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","73","5","75","6","0","0","0","0","0","0","0","0","26","6","219.247","36.3599","11","10","12.1804","36.5412","134.261","78.515","165.134","96.5696","1","0","0","22","1","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
