"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L261","Protectable","junit.framework.Protectable","L284","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\framework\Protectable.java","8","1","14","2","0","0","0","0","0","0","0","0","0","0","0","1","0","6","1","0","1","1","0.727273","8","8","2","0","0.727273","8","0","0","3","3","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","Test","junit.framework.Test","L284","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\framework\Test.java","8","1","18","2","0","0","0","0","0","0","0","0","0","0","0","2","1","64","29","0","2","1","0.733333","11","11","3","0","0.733333","11","0","0","6","95","0","4","11","0","0","0","0","2","0","2","0","2","0","0","2","0","4","11","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","1","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L1138","TestListener","junit.framework.TestListener","L284","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\framework\TestListener.java","6","1","26","2","0","0","0","0","0","0","0","0","0","0","0","4","2","10","5","0","4","1","0.714286","15","15","5","0","0.714286","15","0","0","6","14","0","6","21","0","0","0","0","4","0","4","0","4","0","0","4","0","6","21","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1613","TestRunListener","junit.runner.TestRunListener","L1402","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\junit\runner\TestRunListener.java","9","1","25","2","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","0","6","0.142857","0.411765","7","7","1","6","0.411765","7","0","0","0","0","0","10","17","2","0","2","0","6","2","6","0","6","0","2","6","0","10","17","2","0","2","0","6","2","6","0","6","0","2","6","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L1881","IMoney","junit.samples.money.IMoney","L1874","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\test\java\junit\samples\money\IMoney.java","6","1","51","2","0","0","0","0","0","0","0","0","0","0","0","8","2","4","24","0","8","1","0.761905","32","32","9","0","0.761905","32","0","0","2","2","0","10","46","0","0","0","0","8","0","8","0","8","0","0","8","0","10","46","0","0","0","0","8","0","8","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3397","ThrowingRunnable","org.junit.function.ThrowingRunnable","L5642","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\function\ThrowingRunnable.java","12","1","14","2","0","0","0","0","0","0","0","0","0","0","0","1","0","13","1","0","1","0.5","0.75","9","9","1","1","0.75","9","0","0","6","6","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6045","JUnitSystem","org.junit.internal.JUnitSystem","L5649","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\internal\JUnitSystem.java","5","1","14","2","0","0","0","0","0","0","0","0","0","0","0","2","0","4","2","0","2","0.333333","0.375","3","3","1","2","0.375","3","0","0","2","2","0","5","10","0","0","0","0","2","0","2","0","2","0","0","2","0","5","10","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7061","MethodRule","org.junit.rules.MethodRule","L8173","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\rules\MethodRule.java","20","1","32","2","0","0","0","0","0","0","0","0","0","0","0","1","2","36","1","0","1","1","0.884615","23","23","2","0","0.884615","23","0","0","16","20","0","3","13","0","0","0","0","1","0","1","0","1","0","0","1","0","3","13","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L7055","TestRule","org.junit.rules.TestRule","L8173","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\rules\TestRule.java","45","1","56","2","0","0","0","0","0","0","0","0","0","0","0","1","2","95","3","0","1","1","0.941176","48","48","2","0","0.941176","48","0","0","29","60","0","3","12","0","0","0","0","1","0","1","0","1","0","0","1","0","3","12","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"L640","Describable","org.junit.runner.Describable","L11195","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runner\Describable.java","9","1","14","2","0","0","0","0","0","0","0","0","0","0","0","1","1","5","2","0","1","1","0.727273","8","8","2","0","0.727273","8","0","0","3","45","0","3","6","0","1","0","1","1","0","1","0","1","0","0","1","0","3","6","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3824","FilterFactory","org.junit.runner.FilterFactory","L11195","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runner\FilterFactory.java","8","1","25","2","0","0","0","0","0","0","0","0","0","0","0","1","3","7","2","0","1","1","0.727273","8","8","2","0","0.55","11","0","0","4","7","0","3","12","0","0","0","0","1","0","1","0","1","0","0","1","0","9","18","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12618","TestClassValidator","org.junit.validator.TestClassValidator","L14302","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\validator\TestClassValidator.java","12","1","21","2","0","0","0","0","0","0","0","0","0","0","0","1","1","4","2","0","1","1","0.8","12","12","2","0","0.8","12","0","0","2","2","0","3","10","0","0","0","0","1","0","1","0","1","0","0","1","0","3","10","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
